chunk_size,method,query_id,query,precision,recall,reciprocal_rank,ndcg,latency_ms,top_note
128,semantic,q01,how does approximate nearest neighbour search work,0.4,1.0,1.0,1.0,3.0481,retrieval/ann-search.md
128,semantic,q02,why is it quicker to settle for a slightly wrong match when looking things up by vector,0.4,1.0,1.0,1.0,3.2571,retrieval/fuzzy-vector-lookup.md
128,semantic,q03,what does it actually mean for two pieces of text to be alike,0.2,0.5,1.0,0.6131,3.1217,embeddings/measuring-closeness.md
128,semantic,q04,should I scale vectors to the same length before I compare them,0.4,1.0,1.0,0.9197,3.0681,embeddings/cosine-vs-dot-product.md
128,semantic,q05,how do I tell whether a gap between two systems is real or just luck,0.6,1.0,1.0,1.0,2.9874,stats/is-the-difference-real.md
128,semantic,q06,cutting a long document into pieces before indexing it,0.2,1.0,1.0,1.0,3.0136,retrieval/chunking-strategies.md
128,semantic,q07,keeping my notes on my own machine instead of sending them to a company,0.2,0.5,1.0,0.6131,3.1228,module/ethics-approval.md
128,semantic,q08,why the tool never writes an answer of its own,0.2,0.5,0.5,0.3869,3.0405,module/ethics-approval.md
128,semantic,q09,I know I wrote something down but I cannot remember which words I used,0.2,1.0,0.3333,0.5,3.0351,embeddings/subword-tokenisation.md
128,semantic,q10,how does the model break unusual words into smaller units,0.2,1.0,1.0,1.0,3.0771,embeddings/subword-tokenisation.md
128,semantic,q11,externally-managed-environment,0.2,1.0,1.0,1.0,3.3493,python/venv-and-pip.md
128,semantic,q12,PYTORCH_ENABLE_MPS_FALLBACK,0.2,1.0,1.0,1.0,3.0978,misc/laptop-setup.md
128,semantic,q13,describe_index_stats,0.2,1.0,0.5,0.6309,3.4375,python/profiling-and-timing.md
128,semantic,q14,SHUREC7 ethics reference,0.2,1.0,1.0,1.0,3.4782,module/ethics-approval.md
128,semantic,q15,karpukhin2020dpr,0.2,0.5,0.3333,0.3066,2.9608,module/presentation-plan.md
128,semantic,q16,could not broadcast input array from shape,0.2,1.0,1.0,1.0,3.0007,python/numpy-broadcasting.md
128,semantic,q17,snakeviz,0.2,1.0,1.0,1.0,3.4508,python/profiling-and-timing.md
128,semantic,q18,what do the k1 and b parameters in BM25 do,0.2,1.0,1.0,1.0,3.1238,retrieval/bm25-and-tfidf.md
128,semantic,q19,how is nDCG calculated,0.2,1.0,1.0,1.0,3.3933,retrieval/evaluation-metrics.md
128,semantic,q20,how many dimensions should the embeddings have,0.2,1.0,1.0,1.0,3.0084,embeddings/embedding-dimensions.md
128,semantic,q21,maximum sequence length of all-MiniLM-L6-v2,0.4,1.0,0.5,0.6509,2.9503,embeddings/contrastive-training.md
128,semantic,q22,in-batch negatives during training,0.2,1.0,1.0,1.0,3.1122,embeddings/contrastive-training.md
128,semantic,q23,combining a dense ranking and a keyword ranking without tuning a weight,0.2,1.0,1.0,1.0,3.0769,retrieval/hybrid-fusion.md
128,semantic,q24,how should I measure query latency properly,0.2,0.5,1.0,0.6131,3.0451,retrieval/query-latency.md
128,semantic,q25,when should a dataclass be frozen,0.2,1.0,1.0,1.0,3.0498,python/dataclasses.md
128,semantic,q26,argparse subcommand with an option that can be repeated,0.2,1.0,1.0,1.0,2.958,python/argparse-subcommands.md
128,semantic,q27,pytest tmp_path for tests that write files,0.2,1.0,1.0,1.0,2.9568,python/pytest-notes.md
128,semantic,q28,report word limit and submission deadline,0.2,1.0,0.5,0.6309,3.369,module/supervisor-meeting-11-feb.md
128,semantic,q29,threats to validity from writing and judging my own evaluation set,0.4,0.6667,0.3333,0.4162,2.9587,module/assignment-brief.md
128,semantic,q30,effect size versus statistical significance,0.4,1.0,1.0,1.0,3.2609,stats/effect-size.md
128,keyword,q01,how does approximate nearest neighbour search work,0.2,0.5,1.0,0.6131,0.0636,retrieval/ann-search.md
128,keyword,q02,why is it quicker to settle for a slightly wrong match when looking things up by vector,0.2,0.5,1.0,0.6131,0.0823,retrieval/fuzzy-vector-lookup.md
128,keyword,q03,what does it actually mean for two pieces of text to be alike,0.2,0.5,1.0,0.6131,0.0652,embeddings/measuring-closeness.md
